PurchaseHistoryId,ProductId,Quantity,PricePerQuantity,TimeOfTheDay
1001,10,1,25049,
1001,4,1,25649,
1001,6,1,7436,
1001,10,1,25049,
1001,4,1,25649,
1001,11,1,7947,17:06:31
1001,1,1,320,17:28:03
1001,10,1,25049,17:38:06
1001,14,1,10516,17:46:52
1001,8,1,16864,17:55:20
1002,12,1,9206,
1002,1,1,320,
1002,11,1,7947,
1002,1,1,320,
1002,5,1,19811,
1002,6,1,7436,12:14:56
1002,12,1,9206,12:15:19
1002,1,1,320,12:16:42
1002,4,1,25649,12:40:18
1002,1,1,320,12:51:06
1003,6,1,7436,10:07:52
1003,8,1,16864,10:22:35
1003,4,1,25649,10:39:58
1004,8,1,16864,
1004,8,1,16864,
1004,7,1,17587,
1004,14,1,10516,03:12:29
1004,2,1,12642,03:14:33
1004,10,1,25049,03:25:15
1004,4,1,25649,03:33:24
1004,13,1,16703,03:39:57
1004,14,1,10516,03:41:46
1005,3,1,15327,
1005,4,1,25649,
1005,4,1,25649,
1005,14,1,10516,
1005,14,1,10516,
1005,8,1,16864,
1005,12,1,9206,
1005,4,1,25649,
1005,10,1,25049,16:04:53
1005,10,1,25049,16:24:22
1005,9,1,3662,16:29:55
1005,4,1,25649,16:35:30
1005,1,1,320,16:42:35
1006,5,1,19811,
1006,7,1,17587,
1006,3,1,15327,
1006,5,1,19811,
1006,5,1,19811,
1006,1,1,320,07:05:56
1006,5,1,19811,07:09:43
1006,7,1,17587,07:13:50
1006,4,1,25649,07:20:43
1006,9,1,3662,07:22:58
1006,9,1,3662,07:46:34
1007,6,1,7436,
1007,10,1,25049,
1007,6,1,7436,
1007,7,1,17587,
1007,6,1,7436,
1007,11,1,7947,03:04:27
1007,7,1,17587,03:05:48
1007,7,1,17587,03:07:57
1007,1,1,320,03:26:45
1007,2,1,12642,03:31:03
1007,12,1,9206,03:41:13
1007,8,1,16864,03:56:57
1008,9,1,3662,
1008,9,1,3662,
1008,1,1,320,03:32:08
